minutes,video_processing-0-0.0.1,dd-0-0.0.1,pyaes-0-0.0.1
1307,3.278020133333333,0.6464806166666667,0.8231619833333332
1308,5.211025833333335,0.5438001,0.7049437833333331
1309,3.8460982333333336,0.6177476500000001,0.60734855
1310,2.55280995,0.7586245166666667,0.5288057166666668
1311,4.541925916666665,0.7944755333333333,0.5860631666666668
1312,3.805916583333333,0.7047453,0.6961416166666664
1313,3.005057616666667,0.6634640333333333,0.48773238333333324
1314,3.1091550500000005,0.6875120333333334,0.7129681
1315,3.9522390166666668,0.6149010666666669,0.7487678833333332
1316,3.1748718166666667,0.6521495166666668,0.7455846833333334
1317,4.278224616666665,0.8287976,0.69434985
