minutes,pyaes-0-0.0.1,cnn_image_classification-0-0.0.1,image_processing-0-0.0.1
1042,26.04275571797034,32.48135462912307,21.285680046341714
1043,23.839136601000202,28.794290519668415,24.613286640806106
1044,17.802818415325465,36.77065178111309,18.511955719405496
1045,25.115900860836877,27.938249126631412,21.988703956291626
1046,27.509431671630338,51.7766563285962,28.269605534093742
1047,26.65337688430854,47.976690703984175,22.136207222122334
1048,24.417908278969353,52.04045937329472,23.442572131626985
1049,29.695429257433233,46.184097632606004,26.898990839130796
1050,36.32729555882176,50.394312078986594,22.768964939185963
1051,42.87371881072587,41.36880955211954,23.931385878114813
1052,36.460927952341464,40.09292286354379,26.115461752986114
1053,33.120545904100496,38.418860050020825,26.601871210395203
