minutes,dd-0-0.0.1,pyaes-0-0.0.1,image_processing-0-0.0.1
1106,5.616781414029272,17.038494097585343,10.968767221336245
1107,6.857104326881627,12.909995096299937,18.483476162377514
1108,9.773605668758304,17.609621561209153,9.188279365236856
1109,6.441069778526118,9.68380187670251,9.112748940230075
1110,2.2939193696872504,13.263460599730518,9.088155365635869
1111,3.0779065596551445,16.9339400283703,10.52151080952034
1112,3.13816808929795,14.541983644113346,9.39505810183083
1113,2.8226745449547748,14.425104935434367,8.668345279656524
1114,1.928940764250712,11.903893078336834,7.014394265332344
1115,6.57150462175584,10.780464042337218,10.566677662038762
1116,10.951259960521218,16.122133721056514,13.999505449539713
1117,7.804653698170929,5.1938725618413075,13.419698309572956
