,video_processing-0-0.0.1,model_training-0-0.0.1,pyaes-0-0.0.1
0,243.80806100000007,88.332385,48.869294000000004
1,209.05510500000003,188.499471,38.420759000000004
2,307.20275599999997,174.48764100000002,38.959905000000006
3,243.90101300000003,111.34219899999998,35.439837999999995
4,243.75748000000002,174.590392,34.81044299999999
5,289.861058,127.739905,44.062613
6,221.44347599999998,88.40975600000002,38.113308999999994
7,299.13022499999994,102.34794500000002,57.60842899999998
8,337.939238,156.90924800000002,45.808596000000016
9,253.96611900000002,196.54962400000005,52.24913699999999
10,208.681221,51.093261,48.11663299999999
