minutes,video_processing-0-0.0.1,model_training-0-0.0.1,pyaes-0-0.0.1
1288,24.586628751718113,16.312304805282068,13.850132408949829
1289,18.50712429230828,25.901799912043394,10.694102089784318
1290,27.286476982476298,24.472844837698606,11.259006396335133
1291,24.766003825718155,19.39887609978274,11.179342943285661
1292,22.57718316843284,25.182924827517784,10.771700517697438
1293,27.297713501434156,20.954674999360677,12.988120236675563
1294,23.590666921887607,16.310697962418928,11.949722230864616
1295,26.66784704960691,17.485096958790653,14.350532884336541
1296,30.220754083024772,23.556878040882225,12.705802161764854
1297,23.41690015851729,27.88674935773322,13.562905621455748
1298,21.22574134635611,11.293123033493446,13.513102067280666
