minutes,video_processing-0-0.0.1,model_training-0-0.0.1,pyaes-0-0.0.1
1288,6.441803121354782,5.403045462397649,5.252212532393385
1289,5.610518186227102,5.580938597608131,5.006254405187013
1290,7.623968105682519,6.361772837147066,5.280579475159837
1291,6.045234441935963,5.380466990273714,5.0322307876244645
1292,6.34441294200976,5.892464156325635,5.103740393144991
1293,6.5193181210734,5.582526611165258,5.161242539936246
1294,6.411826052033834,5.420828755464039,5.175204182794034
1295,6.834511098154716,5.5412291476535485,5.311672563728022
1296,7.939332574097953,6.2650677641499195,5.371325546508678
1297,7.508995717087815,6.874967145383238,5.537164581803749
1298,4.76750123682443,4.782133105062887,4.7805833318747855
