minutes,video_processing-0-0.0.1,model_training-0-0.0.1,pyaes-0-0.0.1
1288,4.566666666666666,1.7166666666666666,1.45
1289,3.85,3.5166666666666666,1.1
1290,5.716666666666667,3.2333333333333334,1.1833333333333333
1291,4.5,2.1333333333333333,1.0166666666666666
1292,4.55,3.2,1.1333333333333333
1293,5.35,2.4833333333333334,1.3
1294,4.1,1.6166666666666667,1.1166666666666667
1295,5.533333333333333,1.9666666666666666,1.6166666666666667
1296,6.233333333333333,2.9833333333333334,1.3
1297,4.683333333333334,3.65,1.5
1298,3.9,1.0333333333333334,1.3333333333333333
