minutes,video_processing-0-0.0.1,model_training-0-0.0.1,pyaes-0-0.0.1
1288,4.063467683333334,1.4722064166666666,0.8144882333333334
1289,3.4842517500000003,3.14165785,0.6403459833333334
1290,5.120045933333333,2.9081273500000004,0.6493317500000001
1291,4.0650168833333336,1.8557033166666663,0.5906639666666665
1292,4.062624666666667,2.9098398666666667,0.5801740499999999
1293,4.8310176333333334,2.1289984166666667,0.7343768833333333
1294,3.6907246,1.4734959333333335,0.6352218166666665
1295,4.985503749999999,1.7057990833333336,0.960140483333333
1296,5.632320633333333,2.6151541333333337,0.7634766000000003
1297,4.232768650000001,3.2758270666666673,0.8708189499999999
1298,3.47802035,0.85155435,0.8019438833333332
