minute,perf_rapl,igpm,x_rest
1193,49.60581818181819,84.59583411219126,34.990015930373076
1194,56.69233333333333,89.42730145527189,32.73496812193856
1195,52.73533333333333,86.64352974046415,33.90819640713081
1196,48.329166666666666,77.49811855970943,29.16895189304277
1197,53.879,90.85302711913161,36.97402711913161
1198,53.65466666666667,81.06906968571279,27.41440301904612
1199,49.894999999999996,87.75468745395521,37.85968745395521
1200,51.43083333333333,82.92555547862729,31.49472214529396
1201,56.104166666666664,88.54349011349471,32.43932344682804
1202,48.571,80.83076079129005,32.259760791290056
1203,60.01898305084745,94.03024277819611,34.011259727348666
1204,46.416666666666664,78.90845173001878,32.49178506335212
