minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,pyaes-0-0.0.1
1390,0.8166666666666667,3.5166666666666666,0.4666666666666667
1391,0.8333333333333334,3.55,0.4
1392,0.7666666666666667,3.533333333333333,0.5833333333333334
1393,1.0333333333333334,3.466666666666667,0.25
1394,1.1166666666666667,3.3666666666666667,0.35
1395,1.0333333333333334,3.45,0.2
1396,0.9666666666666667,3.4833333333333334,0.25
1397,1.0666666666666667,3.3833333333333333,0.3
1398,0.9333333333333333,3.45,0.5
1399,1.1833333333333333,3.216666666666667,0.5333333333333333
1400,0.7166666666666667,3.6166666666666667,0.35
1401,0.6666666666666666,3.6333333333333333,0.48333333333333334
1402,1.4,3.0833333333333335,0.48333333333333334
1403,0.95,3.35,0.6
1404,0.6833333333333333,3.6333333333333333,0.48333333333333334
1405,0.9166666666666666,3.5,0.36666666666666664
1406,1.1,3.3666666666666667,0.3
1407,0.85,3.533333333333333,0.36666666666666664
1408,1.15,3.3333333333333335,0.45
1409,1.0833333333333333,3.35,0.48333333333333334
1410,1.0833333333333333,3.3,0.65
1411,0.7,3.65,0.2833333333333333
1412,0.7666666666666667,3.6,0.45
1413,1.3833333333333333,2.7,0.08333333333333333
