,image_processing-0-0.0.1,video_processing-0-0.0.1,pyaes-0-0.0.1
0,49.0,211.0,28.0
1,50.0,213.0,24.0
2,46.0,212.0,35.0
3,62.0,208.0,15.0
4,67.0,202.0,21.0
5,62.0,207.0,12.0
6,58.0,209.0,15.0
7,64.0,203.0,18.0
8,56.0,207.0,30.0
9,71.0,193.0,32.0
10,43.0,217.0,21.0
11,40.0,218.0,29.0
12,84.0,185.0,29.0
13,57.0,201.0,36.0
14,41.0,218.0,29.0
15,55.0,210.0,22.0
16,66.0,202.0,18.0
17,51.0,212.0,22.0
18,69.0,200.0,27.0
19,65.0,201.0,29.0
20,65.0,198.0,39.0
21,42.0,219.0,17.0
22,46.0,216.0,27.0
23,83.0,162.0,5.0
