minutes,image_processing-0-0.0.1,model_training-0-0.0.1,pyaes-0-0.0.1
1306,6.770239060765786,23.36546106094308,5.32217732821508
1307,8.996403673263929,10.889199783465173,5.739063201665976
1308,6.422670841786981,12.381180115555127,6.310166373476563
1309,6.770529102880346,17.04136896499838,6.35307208606519
1310,4.795911023539533,11.912791598826004,6.4686734534379156
1311,8.875442222709129,18.086274605915236,6.233701612709493
1312,6.700973852112498,21.07025064149554,5.942109609804459
1313,6.154782475258746,19.472992865791568,4.694042144962862
1314,7.903943775754165,16.069182227459468,6.160052324893667
1315,6.355024978472636,14.30366966191132,5.701708485599743
1316,6.7797460031787065,31.55872658139769,4.229468930669888
