minutes,image_processing-0-0.0.1,model_training-0-0.0.1,pyaes-0-0.0.1
1306,19.093937129920153,18.8969293247073,27.678364635566762
1307,16.810106808763027,12.676427964947782,22.01611430649347
1308,15.056225119147266,12.719751057128354,22.22333144548345
1309,19.514897984219772,18.81075271438115,28.007234304638597
1310,12.17926277753178,11.91308641871917,20.70621808531917
1311,18.719870212412182,17.35160347581957,28.996627209737795
1312,22.82982563788531,19.87261469142065,32.98648493913345
1313,17.087076137026553,17.817789755101824,26.171867148499718
1314,16.58776456548941,16.19659718596553,28.38906915474293
1315,13.942532784640756,13.045588336839462,23.51941217682284
1316,24.588765783063494,23.675486857145817,35.719859791951535
