minutes,image_processing-0-0.0.1,model_training-0-0.0.1,pyaes-0-0.0.1
1437,9.655427507600661,15.20247788055738,8.864413154574086
1438,13.518580272703417,11.455635546562322,9.330750434154913
1439,9.94208699393228,10.88813837679846,11.917932145618677
0,13.217808631022102,10.664783939627,11.350700386019765
1,15.984170075306361,11.352325251897943,12.29059039716572
2,14.4289523282673,10.693884083120649,11.937024968741056
3,22.553765143635424,12.329183683847537,6.775592124834422
4,16.245011258232022,10.775654461054394,16.148504864945576
5,14.452549911974165,10.936005420698343,10.587448748261304
6,15.30323546517226,10.105637392850843,18.768430598151483
7,20.80494788257544,7.2414758492334315,11.102160035303886
8,15.475187872216125,12.994589715569505,9.097634767711273
9,10.636155225377298,11.11669366832088,13.32258282544394
10,10.2573274104596,9.314253646588682,17.24528663805252
11,10.74020188795675,11.901777742250125,10.872229156219314
12,13.586236839225759,13.260329604525259,7.414696943607063
13,13.630166560770801,9.696197712182435,9.030081090020808
14,17.22652838085242,9.602812860479728,14.049029829378997
15,17.988850034490312,10.47453952146578,7.470374593385357
16,11.629033334630774,11.80310478439865,9.934660777657797
17,14.380565891634978,10.486955801541091,9.275216940717218
18,9.483725444941841,12.474220397200392,8.238895921712642
19,11.580058238643092,11.369428419617751,13.371915242452562
20,14.72083799500614,11.43104958304725,16.183999916984988
21,,2461.4333097822177,
