minutes,image_processing-0-0.0.1,model_training-0-0.0.1,pyaes-0-0.0.1
0,-14.435124108417932,-138.14592935499877,4.274097424668961
1,0.5987351864856327,-72.1592464130131,9.830250515524032
2,-5.988113267338857,-48.32879067384438,16.510750236284956
3,-6.9946107535845155,-100.64675537319262,9.903312777790816
4,-7.860984142588448,-161.46218573655366,4.711036371569194
5,-11.961004615062992,-47.60060664953778,12.082330561299694
6,-10.438558245792732,-82.24298808107524,11.223630401503392
7,-3.162715801867868,-56.53211248293347,18.700501122768866
8,-20.179050466258378,-263.5483405918274,3.5435256076470583
9,2.9513827047688697,-26.787513973497877,11.52333683210155
10,-0.5433021459926448,-23.128141159627294,15.287730035300182
11,8.873843198804428,12.881524510892739,14.4800526939062
12,8.173508614814176,0.9341017681812651,10.152937678203353
13,-9.765785588416927,-91.80312478510481,8.564015493037594
14,-7.752487286949076,-90.64052629885144,13.195209160363394
15,4.790113225414942,14.858371247361974,12.592166675416836
16,9.223379098999922,48.984171111257226,8.071088145230565
17,15.74576648094519,50.758566821130714,8.659114061082379
18,7.42504693473661,49.9133933386298,9.774304076888056
19,1.034436670188801,-6.3408383617263935,10.235815806067823
20,-8.982262458347568,-120.35210989171976,8.470595251064468
21,,-635.3319544504459,
1437,-0.7402532667263408,-47.40774179565815,18.347589692957385
1438,-10.572599294727805,-131.34796310756428,15.837322433149918
1439,-11.929755675384948,-132.0405783680502,15.547916005005163
