minutes,image_processing-0-0.0.1,model_training-0-0.0.1,pyaes-0-0.0.1
1306,6.8944968985466435,8.754671653681974,9.794717724613392
1307,4.437056660140198,6.724334083724419,10.83242615504268
1308,5.114816095852062,5.714148504223474,7.4090125077106785
1309,5.539698338744667,9.58984599377195,8.693726479226141
1310,4.315523763055267,5.633153407014957,6.468595491653751
1311,5.959540803868236,7.6673097525852345,7.5019656768831355
1312,6.484627221952256,11.296904780600409,10.281724461423869
1313,7.88117681822338,9.03258000204236,8.578554068076794
1314,7.491957436064317,8.51144707991966,10.347975387067736
1315,5.887646959743661,6.205981245480036,7.891326791746608
1316,9.111895319457114,10.911630848338334,11.631343871941128
