minutes,image_processing-0-0.0.1,model_training-0-0.0.1,pyaes-0-0.0.1
1437,55.09668497748997,63.42641931037659,42.57510126302696
1438,64.77649779859748,70.14769551264854,47.46568616940387
1439,58.80629776060636,66.83749779720623,49.55560118059806
0,64.59145786785344,73.50788152207869,55.86227561339414
1,66.84475653911309,74.54040699223218,51.951105830879754
2,66.00439075997289,76.93400161968297,55.54655677481764
3,73.41093977021056,69.52548597276032,47.343625207848326
4,75.10959588134766,78.90254246952041,60.45441062656014
5,66.7840276135025,75.3565692896577,53.940289004579455
6,63.436218424279666,72.89330790779456,61.913526799616506
7,71.32589618695047,75.82823540750161,51.36489662714797
8,68.09268690403498,74.24895894494513,49.46596889243647
9,56.69479126330731,67.89628109976873,49.117251423286866
10,60.591587837630506,72.60864662817235,61.07244055130728
11,56.508376291480495,68.04885044821486,47.278514896991275
12,61.31059058144416,70.07606882229605,43.73055737138121
13,57.39695109433315,63.1518435839302,45.05062831857068
14,74.3605667486266,82.05394360064376,52.82482499563415
15,68.07251334259152,70.88969462595671,44.76396984351284
16,61.70961919886549,72.74914241945982,47.13802837866449
17,63.560251400491865,71.65331709206768,50.48567113044507
18,53.71247949800415,65.9588100302189,43.62633848682655
19,64.64398136350754,75.30825477799738,59.31494340083456
20,67.40848271907898,74.1220043881315,61.23080952934197
21,,7313.057002344445,
