minutes,video_processing-0-0.0.1,dd-0-0.0.1,pyaes-0-0.0.1
46,8.6,2.45,2.966666666666667
47,9.633333333333333,2.0833333333333335,2.933333333333333
48,9.25,2.3,3.95
49,8.566666666666666,2.55,3.533333333333333
50,6.533333333333333,1.55,2.35
