minutes,model_training-0-0.0.1,pyaes-0-0.0.1,video_processing-0-0.0.1
1288,66.94520808983907,13.425741521921434,47.04001320189316
1289,51.89062260077925,13.66482263847097,41.999679464599204
1290,53.32417185587382,13.373507516699389,41.70348614115821
1291,64.0631061898255,15.4557488847247,48.085173310694316
1292,55.442950374969854,13.359154318559069,43.353695559116275
1293,59.447836476216324,14.042851610841312,44.58001940189318
1294,71.07914645848493,15.041343057465165,50.27176415155385
1295,62.63649250248998,12.47670489139634,42.108414185865584
1296,55.62962023584445,13.737607221292587,42.35968372628219
1297,53.82637975814823,12.709071975427953,43.68598160162922
1298,76.99521973773702,14.245204200697197,47.55169743991594
