minutes,model_training-0-0.0.1,pyaes-0-0.0.1,video_processing-0-0.0.1
1288,22.173936002099907,5.091276082858524,12.324687004978278
1289,11.18062758225358,6.396944592037667,12.732392225288981
1290,13.86174228316488,6.272300309427459,11.65214726841255
1291,17.768525680341664,6.957197375380375,11.737305214432997
1292,12.972901283033863,6.329702111738788,12.182819492459334
1293,15.837474411547953,5.580373587181851,10.646727914017301
1294,23.623016128664343,6.514128111260834,13.663615705987933
1295,19.850227812839435,4.618098267953279,10.791663216893841
1296,14.79497155211483,5.807516886866241,11.128366152367645
1297,13.269907784701026,5.188580174045405,14.008594071922696
1298,32.60403593827873,5.03958198657416,10.680558697980135
