minutes,model_training-0-0.0.1,pyaes-0-0.0.1,video_processing-0-0.0.1
1408,38.281234434703734,32.477569104572886,67.21160675654924
1409,40.125862768699065,32.91666972081494,61.59151534139988
1410,40.3651689200627,35.14846960950484,63.28486567449991
1411,40.692321671077586,34.681530475358116,66.14678660676437
1412,42.24585827786967,34.56488497728507,70.99061192437374
1413,40.53680644510188,35.305104651754014,65.46215867818614
1414,38.97221125756336,28.964593693076356,59.60615453751266
1415,40.15430457382034,41.81050915089121,73.97810033209609
1416,41.25401379975568,36.65907131246956,63.335101933870796
1417,42.052926103931604,45.01224679968379,76.87154139978553
1418,40.184519289453085,32.372247849306795,63.3521432697618
1419,40.477695609049796,36.09578958180452,70.31153369464667
1420,41.292741858855315,36.615059246606705,72.1412633237526
1421,40.83272853076907,41.087640279098515,64.6543293079705
1422,40.448818727970604,34.4276341087501,65.53850021456054
1423,38.05636770170073,31.44036396202248,70.27167286754835
1424,37.79243793048042,32.95759163743446,62.8911594834807
1425,40.64900348713354,39.67139142156866,70.19508228039172
1426,40.31518236767605,34.1537314988804,72.2104150668251
1427,40.947466126819734,32.89549020642426,60.29107372398794
1428,39.44137962321133,34.05448525975042,64.41797685542578
1429,38.31786140519163,31.85357952596594,62.344810499879536
1430,39.164836948493765,35.86941013895959,277.463211558483
1431,50.3052013746875,52.404926805635654,
