minutes,video_processing-0-0.0.1,model_training-0-0.0.1,pyaes-0-0.0.1
1288,1.410613822194478,3.1474051237267857,3.6222155395816444
1289,1.4572774509680784,1.5869967576136865,4.551140368351829
1290,1.3336387356879043,1.9675586094269275,4.462461528304088
1291,1.3433854315413252,2.5220939016908033,4.949735200942096
1292,1.394376470771376,1.8413950488517608,4.503300346892639
1293,1.2185641347800749,2.247997293086681,3.970186569181727
1294,1.563860012691179,3.353089951833426,4.6345112084722695
1295,1.23515260810025,2.817574142874686,3.285570657976096
1296,1.273689717769725,2.1000227142401964,4.131788881929753
1297,1.6033442812287149,1.88355264257075,3.6914430545358328
1298,1.2224362145703667,4.627870746835051,3.585437498906089
