minutes,model_training-0-0.0.1,pyaes-0-0.0.1,video_processing-0-0.0.1
1408,18.823897424251467,6.777682952751904,9.44602482079027
1409,12.123989746896923,18.77862230864355,-36.81919321360458
1410,-11.410765296802396,20.458354135963045,-36.261266986507856
1411,-4.185512450941645,15.282061466149962,-50.14341732560293
1412,-19.816027520478396,12.29592855930597,-26.543272667940144
1413,-10.252895419220279,13.72512802376317,-42.94922986975301
1414,-20.586490324711338,8.376660499810276,-30.149455407033965
1415,46.013057785647206,48.40791841774389,16.416560945312376
1416,64.4037534636202,5.4856840951048405,19.7597122584723
1417,41.606914995833954,20.015197665108953,57.69213698209928
1418,39.38753236333987,3.2993360876647446,14.319106848377032
1419,41.29158507173982,9.156471214072402,37.22896262924318
1420,24.245412952738786,7.278390969141633,19.083648838099165
1421,33.30431190412213,5.581811441902354,14.115087914216174
1422,29.756070554482182,4.510348411070745,17.507701033004636
1423,30.798787531652916,5.368208996181554,34.004002637526035
1424,42.01367315769475,11.070797125922336,21.811206064906372
1425,46.782156744866654,14.999549736179622,28.366518136608793
1426,54.5290776284697,5.347717891350023,34.0989213795418
1427,69.93891762726088,13.108815741966682,19.143586309161638
1428,46.21675706406592,9.180617736059299,45.18742534874733
1429,60.41539613241704,10.740235892328313,28.418728316125282
1430,44.71958298855793,19.661555262780848,503.5015599414886
1431,52.416013349476195,17.6144559818318,
1432,,,
