minutes,video_processing-0-0.0.1,model_training-0-0.0.1,pyaes-0-0.0.1
1288,5.3839333032959376,9.502313478805089,9.551815454448159
1289,4.807045270729423,7.365440733282482,9.721910990713015
1290,4.773144661657661,7.568921083824311,9.514653292677577
1291,5.503556405715146,9.09322317177316,10.996075026182618
1292,4.962018278776449,7.869664008599307,9.504441633262445
1293,5.1023763554082535,8.438124160816379,9.990861720519664
1294,5.753821200460393,10.08909152314573,10.701243788833985
1295,4.819490430651851,8.890727267181688,8.876618278971057
1296,4.848249318132316,7.896160237167226,9.773693970588349
1297,5.000049855911165,7.640205303488553,9.041937080970499
1298,5.442497781116951,10.928828742090431,10.1348265504605
