minutes,model_training-0-0.0.1,pyaes-0-0.0.1,video_processing-0-0.0.1
1288,10.9968601396928,9.074700146292253,1.2868613558788224
1289,4.138317868252076,12.187585618580746,4.2033220503259665
1290,8.567161550690129,8.273223220372406,2.0277489844153753
1291,8.052328789050476,11.055930200981054,3.564709817180326
1292,6.13476441899212,7.7936253677175475,4.527946489541384
1293,8.13107126866116,6.781634132072898,2.5267824053254833
1294,10.325057454440335,10.368596618650944,5.882680630331463
1295,9.15596706972931,9.762814030954544,2.9953676038866566
1296,6.304852105992578,8.008049648246216,3.1928766827892727
1297,5.71526523346588,9.975938976567273,4.3242018730805825
1298,21.044375399077015,4.75809463174535,3.9268620070906124
1299,,,
