minute,perf_rapl,ipmi,x_rest
1225,110.87348837209304,256.7674418604651,145.8939534883721
1226,107.65716666666667,254.9,147.24283333333332
1227,113.66799999999999,261.6,147.932
1228,102.91406779661017,248.76271186440678,145.8486440677966
1229,122.22483333333334,270.8666666666667,148.64183333333332
1230,112.09899999999999,260.45,148.351
1231,119.212,268.3,149.08800000000002
1232,123.67816666666667,273.6,149.92183333333332
1233,129.46633333333335,281.1333333333333,151.667
1234,122.74266666666666,271.81666666666666,149.074
1235,120.9225,270.01666666666665,149.09416666666667
1236,126.33,276.14285714285717,149.81285714285715
