minutes,pyaes-0-0.0.1,image_processing-0-0.0.1,dd-0-0.0.1
1150,32.6329351805307,23.389059925004037,14.976171913907548
1151,40.24300203917284,23.2232611672662,14.089188459682523
1152,37.668331274248935,24.651574435942866,15.864158221141885
1153,40.084648723357745,24.259339590263743,11.830789747911147
1154,37.36040673096079,19.848727546624172,12.83227774272157
1155,39.11636744319766,22.724234275771092,14.075669623795228
1156,34.11087392927695,27.50538234772176,12.959632787170516
1157,34.050272884521505,30.98222987035988,13.349921982012276
1158,43.79397139108738,30.40724658774495,18.026778009744845
1159,35.323876505035535,25.90877208306334,12.16625945940647
1160,35.678870742288346,33.68639222691981,11.037396609981307
1161,34.874947669617654,30.94978938965276,11.019695846616418
1162,34.29791699862644,19.995386841283416,3.4763520639705416
