minute,perf_rapl,igpm,x_rest
1139,48.163823529411765,73.10518547241873,24.941361943006967
1140,43.57483333333333,72.0557804417817,28.480947108448376
1141,47.87833333333333,75.51254987285448,27.634216539521155
1142,41.30083333333334,68.7979134009967,27.49708006766337
1143,46.393166666666666,74.82211274007597,28.428946073409303
1144,46.691,75.03054347859401,28.339543478594017
1145,47.36933333333333,73.9240441430959,26.55471080976257
1146,42.592999999999996,68.60006521957702,26.007065219577008
1147,46.872166666666665,75.00912922553586,28.13696255886919
1148,41.4905,67.847382343548,26.356882343548005
1149,48.85333333333333,77.71479325445996,28.86145992112664
1150,46.49933333333333,77.25600379464095,30.756670461307618
1151,50.398983050847455,76.46225394703637,26.063270896188914
1152,42.07,68.11856469383783,26.04856469383783
