minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,dd-0-0.0.1,pyaes-0-0.0.1
25,3.15,7.783333333333333,2.5166666666666666,3.1333333333333333
26,3.0166666666666666,8.466666666666667,2.216666666666667,2.9833333333333334
27,3.15,8.183333333333334,2.316666666666667,3.966666666666667
28,4.233333333333333,7.716666666666667,2.55,3.65
29,2.2333333333333334,6.35,1.5333333333333334,2.3833333333333333
