,image_processing-0-0.0.1,video_processing-0-0.0.1,dd-0-0.0.1,pyaes-0-0.0.1
0,118.0,65.0,87.0,114.0
1,107.0,79.0,99.0,75.0
2,105.0,89.0,85.0,80.0
