,image_processing-0-0.0.1,cnn_image_classification-0-0.0.1,pyaes-0-0.0.1
0,72.34410300000002,93.53455400000001,69.70635499999999
1,92.01474699999999,108.27366099999999,61.056513999999986
2,76.62799199999999,124.24133600000002,87.12579900000001
3,66.40689200000001,131.54034499999997,55.29984299999997
4,84.96578799999999,204.822543,75.54425200000003
5,94.390484,177.09559600000003,106.21987499999997
6,84.05936500000001,217.403389,98.39770799999998
7,99.77196899999998,199.26116599999997,100.473277
8,68.070812,172.40926900000002,79.78893199999999
9,80.19845200000002,232.01097999999996,73.84562
10,80.34033700000002,243.75842500000002,77.20123
