minutes,image_processing-0-0.0.1,cnn_image_classification-0-0.0.1,pyaes-0-0.0.1
1053,18.866181279406256,21.64198559414398,18.72425480445752
1054,20.528557996453532,22.24426646192766,18.881101913906534
1055,21.99439194374932,24.907365320026482,19.667265917933573
1056,22.891526770623596,25.950955586508307,16.835269498936974
1057,25.82359423720359,35.346455989744925,19.533041644354658
1058,25.054257046350457,40.167193813324744,21.125760932107433
1059,23.67976521147301,43.554536530158785,21.29477338733587
1060,23.70972536249968,42.296762132928336,15.893004563399414
1061,21.395356531243305,46.35801066308368,18.42437123594341
1062,23.11515427707084,49.27959166609578,20.439761014793348
1063,20.97699801090644,58.29233482239221,22.97161206527989
