minutes,image_processing-0-0.0.1,cnn_image_classification-0-0.0.1,pyaes-0-0.0.1
1053,2.1166666666666667,2.3333333333333335,1.9166666666666667
1054,2.6166666666666667,2.566666666666667,1.7333333333333334
1055,2.033333333333333,2.9,2.466666666666667
1056,1.95,3.05,1.55
1057,2.283333333333333,4.3,2.05
1058,2.4166666666666665,3.683333333333333,2.7666666666666666
1059,2.25,4.45,2.533333333333333
1060,2.5166666666666666,4.033333333333333,2.566666666666667
1061,1.7833333333333334,3.6,2.15
1062,2.1166666666666667,4.616666666666666,1.9833333333333334
1063,2.1166666666666667,4.683333333333334,2.0
