minutes,image_processing-0-0.0.1,cnn_image_classification-0-0.0.1,pyaes-0-0.0.1
1053,5.857705376960423,5.266067865014798,6.828888263434139
1054,5.746068866345724,5.099550096697491,6.446050387221745
1055,5.758315774403273,6.272663047015922,5.395826619663606
1056,6.003278053452869,5.5151267021262775,5.151088911621205
1057,6.849319786912203,7.310709096811653,5.294732259663002
1058,6.730293283579114,8.275990686463436,5.074338183559199
1059,6.742100718186934,8.747682502335136,5.070145407113927
1060,5.863579883393594,7.8777897996751145,3.99961207745499
1061,4.829603298404568,8.300742674736213,4.486058696263794
1062,4.910068207984719,9.322668532689939,4.26033740212184
1063,4.463573571401017,10.314575819268393,4.175070115661608
