minutes,image_processing-0-0.0.1,cnn_image_classification-0-0.0.1,pyaes-0-0.0.1
1053,1.2057350500000004,1.5589092333333336,1.1617725833333332
1054,1.5335791166666664,1.8045610166666666,1.0176085666666663
1055,1.2771332,2.070688933333334,1.4520966500000003
1056,1.1067815333333335,2.1923390833333327,0.9216640499999994
1057,1.4160964666666664,3.41370905,1.2590708666666672
1058,1.5731747333333332,2.9515932666666673,1.7703312499999995
1059,1.400989416666667,3.6233898166666667,1.6399617999999996
1060,1.6628661499999997,3.321019433333333,1.6745546166666665
1061,1.1345135333333334,2.873487816666667,1.3298155333333332
1062,1.336640866666667,3.866849666666666,1.2307603333333332
1063,1.339005616666667,4.0626404166666665,1.2866871666666666
