minutes,image_processing-0-0.0.1,cnn_image_classification-0-0.0.1,pyaes-0-0.0.1
1053,11.913491220000337,12.02961017764976,14.287411088636778
1054,12.499727338901998,12.666699654833057,14.208847052195027
1055,13.269913798538642,13.889018563212254,15.119049423423377
1056,13.622630502923698,15.243387278784532,13.640519795123174
1057,14.579130202375536,21.41189539930097,15.639565474278765
1058,14.499662089628298,24.08444327339725,16.92971789917594
1059,13.210413262426878,26.094165245015184,17.157696817374873
1060,14.310359657736832,24.670441919127057,13.80786360276846
1061,13.281008337732514,27.686382299928184,14.049455290271741
1062,14.351033131388998,29.36626850951775,15.738821527964676
1063,14.037894877109087,34.202675600581436,18.505708222221536
