minutes,image_processing-0-0.0.1,cnn_image_classification-0-0.0.1,pyaes-0-0.0.1
1053,11.76808340725442,12.012722174408385,20.240442707534665
1054,11.989965593885376,13.078224352472795,19.370011277742712
1055,12.799728666880604,14.691132367364563,19.174084546299174
1056,12.798805786175238,14.774738949221723,18.947349941627
1057,14.009099160139307,20.51902140917254,20.330673127129625
1058,14.526673313580178,22.550345476009547,21.128631458725266
1059,14.569076082562997,23.147455225434122,22.495926361498586
1060,14.923100568409145,21.89343381370192,19.221432376311732
1061,14.069274187040374,24.693515413634792,17.29760305670659
1062,14.872460554894667,26.573071236887472,18.741179211544114
1063,14.356972067314915,30.720780187523292,20.92526336179436
