minutes,image_processing-0-0.0.1,cnn_image_classification-0-0.0.1,pyaes-0-0.0.1
1053,6.793269497943305,9.961487176763312,4.304448369288944
1054,7.9025887914673625,9.879011626393785,4.57036873935698
1055,8.609904526568709,11.27594802871244,4.4672136744072
1056,9.05100453609944,10.48323321304089,4.059506962129383
1057,11.053808645409148,13.664419195110854,4.628883175569407
1058,10.383964931208146,15.824891294163962,4.815629184019741
1059,10.326991052550532,17.115968773228204,4.853044716532425
1060,8.885437724300232,16.54755815906202,3.8604307862542777
1061,7.721789167361832,17.724705957360918,5.589875155753508
1062,8.439112771479198,19.101080610960018,5.765879591190236
1063,7.432805808385012,22.66158575682089,5.542312744998487
