minutes,image_processing-0-0.0.1,cnn_image_classification-0-0.0.1,pyaes-0-0.0.1
1053,14.14990442865615,15.488738165713281,20.400997348149446
1054,15.19666881846109,16.548366719161102,19.731399931382267
1055,16.786660557576845,19.36681476718737,18.895272318782542
1056,16.70480403817846,19.15497575724154,17.709958244670272
1057,19.366738218848095,26.06510686431453,19.24400015312492
1058,19.44214900618745,29.679163085785554,19.889609170644942
1059,19.32525685088129,31.496502591182725,21.240927137974044
1060,18.639508951519023,30.809761610190513,17.249450763040862
1061,17.07110263525077,33.747106984153795,17.350649042226323
1062,18.2727826183957,36.090125713493734,19.025145638747944
1063,16.37029282152715,42.57153068265768,20.34047689072409
