,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,cp
0,85.13205899999997,68.73959099999998,76.42023,0.0
1,45.49028999999999,34.800492000000006,46.72207699999999,0.0
2,57.621897,43.13436100000001,80.32687500000002,0.0
3,35.734383,38.726009000000005,66.51262000000001,0.0
4,37.180241,47.24725600000001,72.86273000000001,0.0
5,42.885024,48.88830000000001,55.66423199999999,0.0
6,43.69513300000001,52.94659899999999,98.29886300000001,0.0
7,43.36170899999999,33.110697,108.25455599999998,0.0
8,35.39809800000001,40.992921,87.17517700000002,0.0
9,37.144089,46.93144700000001,129.69650300000004,0.0
10,47.031138,32.781304999999996,111.70305799999998,0.0
11,57.67442199999999,93.944895,145.24973599999998,0.0
12,64.525875,47.28638899999999,147.299556,0.0
13,26.803338999999998,35.87036000000001,47.517773000000005,0.0
