minutes,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,cp
1050,13.600752485480072,7.021332974087397,9.331208830621579,0.0
1052,15.784638515831489,9.114528199085278,14.361864380705455,0.0
1053,15.741460156424752,10.175757394647421,17.739627386443335,0.0
1054,15.267311837961925,9.784868351296621,18.244014325487406,0.0
1055,15.229194686221764,9.56122539655446,16.890002257288444,0.0
1056,15.683110658172916,9.424989399849087,14.234473393280158,0.0
1057,14.09667556213928,9.976943876692763,24.01647782770212,0.0
1058,13.775642563814438,8.346743900781886,18.833147318122048,0.0
1059,15.809738388894276,10.167509668958067,27.256506157571252,0.0
1060,15.271530568729387,9.75820104116672,29.36880394356402,0.0
1061,15.101920575653757,9.675128823764757,26.825935903137996,0.0
1062,13.865161770681773,11.801701135014804,34.0000858425796,0.0
1063,14.432738938859082,8.983265625128697,30.477907570677228,0.0
1064,15.617263495885854,10.882118941371617,20.265849974777552,0.0
