minutes,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,cp
1050,11.207380107036274,9.11682203993741,5.545114429875736,0.0
1052,16.91561565214523,15.391115772312723,11.09929588269094,0.0
1053,18.554639222564585,18.89979040195994,15.079378160694828,0.0
1054,17.25915305923892,17.429889535161013,14.87334828692649,0.0
1055,16.924958389879308,16.743527941744837,13.5366692589535,0.0
1056,14.625096185858284,13.849373840845233,9.572808442387634,0.0
1057,17.12921940562472,19.102980868953935,21.045615065216595,0.0
1058,17.26800205924822,16.486560416126533,17.02489997588918,0.0
1059,18.648454085748927,18.897984567699726,23.18567676223474,0.0
1060,17.61122976213659,17.73207756688991,24.42445133523057,0.0
1061,20.19400720487174,20.385896978731402,25.868821663504047,0.0
1062,15.977094013982153,21.428916171950064,28.254283761455003,0.0
1063,17.854884918696506,17.511578065445352,27.190981612213335,0.0
1064,17.783899325213916,19.526223931334172,16.642490432324514,0.0
