minutes,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,cp
1050,1.4188676499999995,1.1456598499999997,1.2736705000000001,0.0
1052,1.35,1.3833333333333333,1.2666666666666666,0.0
1053,1.5833333333333333,1.6166666666666667,1.9333333333333333,0.0
1054,0.9833333333333333,1.5833333333333333,1.55,0.0
1055,1.05,1.85,1.8,0.0
1056,1.25,2.0,1.4166666666666667,0.0
1057,1.2333333333333334,1.9166666666666667,2.05,0.0
1058,1.2333333333333334,1.2833333333333334,2.3833333333333333,0.0
1059,1.05,1.5333333333333334,1.8833333333333333,0.0
1060,1.05,1.7333333333333334,2.75,0.0
1061,1.3,1.2833333333333334,2.3333333333333335,0.0
1062,1.4833333333333334,2.85,2.816666666666667,0.0
1063,1.7833333333333334,1.7333333333333334,3.0166666666666666,0.0
1064,0.7833333333333333,1.3333333333333333,1.1,0.0
