minutes,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,cp
1050,3.39697962058541,6.286031439563992,2.0488050498695767,0.0
1052,4.1793372417791925,8.650355277036418,3.3428456200740877,0.0
1053,4.363433444557016,10.110603077288783,4.322754361711239,0.0
1054,4.740908461202721,10.891330974835302,4.980261201168092,0.0
1055,4.176030558769031,9.397822998955846,4.071450505512247,0.0
1056,4.328909352959496,9.325113592633757,3.453984725443578,0.0
1057,3.9068909866735186,9.911493338541666,5.8513574214893245,0.0
1058,4.135437442161349,8.981598843412932,4.970101020539201,0.0
1059,4.244941861449841,9.785626431790485,6.433539492432653,0.0
1060,3.183694788264733,7.291982158024468,5.382299287008685,0.0
1061,5.514505487925025,12.66362737697199,8.611166699125791,0.0
1062,3.485937288663638,10.63570337895383,7.514625901931023,0.0
1063,3.448286760531,7.693356108300651,6.401363495343726,0.0
1064,4.104797568408549,10.252440330409659,4.6825707993754815,0.0
