minutes,image_processing-0-0.0.1,dd-0-0.0.1,video_processing-0-0.0.1
1342,11.36857126667856,6.919431058734404,11.850031820726139
1343,10.169731816651716,9.368023432514967,14.457625186212784
1344,9.417275532298687,7.429583365737102,19.061071161781804
1345,8.27564506643559,8.523341033670528,17.209231466467607
1346,9.204957504698875,9.910878519092414,15.373202189514917
1347,9.452456306076828,8.240855996562894,19.806802980410787
1348,7.251176550280629,9.173534701165412,18.393128726679905
1349,8.343913699964315,7.663240210117775,19.24095054734617
1350,8.153452282334674,11.617590073458134,17.715586482826836
1351,6.5337806214758976,9.173472976058859,18.449327572962897
1352,8.94002213658845,9.721780387006763,20.851512898290046
1353,8.632873345980938,7.826344760770504,18.106027613108115
