minutes,cnn_image_classification-0-0.0.1,cp,dd-0-0.0.1,pyaes-0-0.0.1
1058,,,,
1060,5.452385491680216,,5.354379866428321,8.893053077771286
1061,6.511143527625777,,5.977704025053912,8.229753807312475
1062,6.4532294192835185,,8.068608397763386,6.80776417982013
1063,7.760011893090489,,9.248990228012582,8.526276874344495
1064,6.258941503819485,,8.428331295681103,7.222143434214403
1065,10.506936198251962,,6.244161617788194,8.4937521887905
1066,7.299584044792912,,6.2600225971984695,9.301292112150465
1067,6.480033490226888,,6.40517780404336,7.327260169608973
1068,8.050903932497429,,6.895829294396871,9.748935381395953
1069,8.625797717517264,,6.546868693324131,6.592606451425167
1070,6.571936754636166,,6.554486530879389,12.626157334040029
1071,,,,
