minute,perf_rapl,ipmi,x_rest
1060,83.736,229.8,146.06400000000002
1061,91.10733333333334,236.48333333333332,145.376
1062,93.79525423728813,238.77966101694915,144.98440677966101
1063,97.02166666666668,244.15,147.12833333333336
1064,93.10866666666668,241.03333333333333,147.92466666666667
1065,100.35616666666667,246.41666666666666,146.0605
1066,104.00016666666667,252.71666666666667,148.7165
1067,102.50033333333334,250.41666666666666,147.9163333333333
1068,110.75833333333334,260.2,149.44166666666666
1069,107.102,255.53333333333333,148.43133333333333
1070,110.57433333333333,258.76666666666665,148.19233333333335
1071,108.31945945945947,257.4864864864865,149.16702702702705
