minutes,cnn_image_classification-0-0.0.1,cp,dd-0-0.0.1,pyaes-0-0.0.1
1058,24.02681504253949,,6.4537863853463335,6.889860065802816
1060,34.49099051543795,,8.46846221089313,12.555802490142922
1061,39.6618921400513,,7.347457771508713,11.54925146394684
1062,29.392761528753564,,6.12867708866637,9.694203779091032
1063,46.63589151317538,,11.124965036538399,12.31593502804757
1064,25.124634215901796,,7.230902825661493,8.322084147619902
1065,37.887288896741275,,6.555390482243391,9.210316382915577
1066,26.883712172469345,,4.614509277615039,8.684574459270475
1067,18.07637160598747,,4.917008673652847,6.532589601910412
1068,25.39260054378197,,6.620368403111171,7.874818175018469
1069,29.4135302732909,,4.857311090388282,5.536381596479667
1070,,,,
